		sentence_1	sentence_2	marker
2	143618	She would never be able to read people the way a natural could .	Over the years she had honed her skills , so she could she the truth , and emotions of the people who sat across her desk .	but
2	71459	He listened without interrupting , his expression unchanged .	I sensed his irritation from the stiffness in his shoulders and his overall stillness .	but
3	109194	You might want to acquire representation .	Any of this is true .	if
2	12807	The stories about it are a nightmare .	My vote hardly counts , as i am not going on the journey .	but
3	24073	You look at the back of the book .	You can not figure out how to get to the other end .	if
0	93501	Fin glanced at her .	Stopped his mutilation of the bathroom wall .	and
0	9707	Then the breh-hedden had gotten hold of casimir changed everything .	Casimir 's purpose had been to destroy both grace and leto , but .	and
3	28717	`` , they 'll kill you . '' .	You stay with me .	if
4	15910	She was exposed to some sort of toxic fertilizer or something .	Her and her friends went to go pick up the marijuana that we found at the crime scene .	when
2	42231	She was a math major , and then sold some crazy no-wrinkle cotton clothes .	Once they got married , she sold cosmetics from home .	but
0	89532	He was quickly given fatigues .	Shuffled off to change .	and
2	62357	She may not forgive me now or even in a week or more .	She will forgive me .	but
0	130827	In a flash , the memory came from somewhere deep .	It was as clear as if it happened only yesterday .	and
3	54092	You would eventually get some dino-dna .	You drilled into insects preserved in amber , and extracted the stomach contents .	if
3	85108	I 'm sure she would have told you , '' she snapped , and hurried out of the room after her mistress .	Mrs. branwell had wanted you to know .	if
3	147001	She cant be trusted on the battlefield , and probably not with liam , either .	She cant keep her head while killing .	if
2	49331	The order was less than severe .	There was nothing else i could do .	but
3	85975	I would walk to china .	Alexander were by my side .	if
0	38549	Oh wait , you did , then curran broke your spine and threw you into a fire .	First i kicked your ass .	and
2	76184	Just for a second , he 's taken aback by my reaction .	Then the element of surprise wears off and he smirks .	but
3	28232	Now he just had to figure out .	He had the courage to back away from the only woman he 'd ever truly loved .	if
4	150657	Only slightly bruised and bloody .	She left him in the driveway to walk away with trevor .	when
3	77579	It would be his head .	He let her pass .	if
0	118722	A hush fell over the crowd , the notes strong and true , blending with the whisper of the night wind and the faint crackle of the flames .	Even the rowdy young men near the tavern fell silent , until the only sound to be heard was her voice .	and
0	73011	He raised the sherry to her .	Bowed his head before drinking it all down .	and
4	48543	She wobbled and weaved like a drunken bobblehead .	Her feet hit the floor .	when
0	118727	She blinked open her eyes .	Saw that he was thrashing on his side of the bed , the covers kicked off and bunched at his feet .	and
2	37851	It would have been so easy for him to take control of the meetings .	He 'd allowed her the power .	but
2	93423	They were heavier and she managed to keep her balance and toss them .	Nearly knocked her on her ass .	but
2	55056	I feel my cheeks heat and i .	He shakes his head and smiles .	but
0	38256	He took his coffee .	Wandered into sophie 's room , idly looking it over .	and
1	34272	Had been let off .	He was a college professor .	because
3	2593	To explain the rules .	The answer was no .	if
4	71762	Wyatt used a mix of adrenaline and a drug called lycan-69 , some brew he 'd made .	He first started working with the werewolves .	when
2	2396	He needed a minute , he didnt think he could wait for her .	She just held on and kept moving her hips under him .	but
4	151738	They heard the sound it made smacking against the street .	He dropped it over the edge .	when
2	135852	Sure things were different .	The similarities were eerie .	but
2	4904	I was content to revel in it for the moment .	His directness made my eyes sweep .	but
1	66161	This personal matter and i use the word personal .	It is not really what you would call a problem she stopped as she just didnt know how to explain to him the circumstances without sounding like an idiot .	because
0	159092	The other ramon had climbed the tree to survey the land .	The branch supporting him had snapped .	and
3	105112	That 's not going to happen .	He wants me to give him permission .	if
4	39734	Zoe 's stomach was in complete knots .	It came to the notion of sam coping with these people on a daily basis .	when
4	47925	It would be because we both wanted it more than anything-with no help from outside stimulation .	I made love with chance .	when
0	42526	Nidiami had become convinced , early in life , that everything came down to power .	Power came down to force , bribery , and propaganda .	and
4	105773	She melted a little .	He grinned back , a devilish , sexy gleam in his eyes .	when
0	74538	's gaze locked with liam 's .	Liam felt a surge of triumph .	and
0	45858	He struck me as lonely .	There 's always something pathetic about loneliness .	and
2	105429	Shaved-head and gap-tooth had grabbed what coin they could from the table and the large , silent man seemed to have gone into some sort of fury .	Were in the process of melting into the jostling crowd of onlookers .	but
0	42172	It took tessie a moment to recover from tonis news , because she too was taken aback by the name mapita .	Felt a sharp pain in her chest at the mention of her name .	and
2	137477	It not command youi .	Gabriol hold fast , summoning raphaol , who arrived in human form on an arrow of light .	but
0	62257	She drugged my grandparents , and will probably try to destroy fablehaven next .	Took over the house .	and
0	130544	But molly lay snoring on her bed .	Rae had no intentions of waking her .	and
3	48199	I 'd also examine the area for the detritus that would be left behind from the explosives .	I had the opportunity to return in the daytime .	if
2	139898	Of course , he pretended to be busy with stable business .	He was waiting for that moment when she 'd come riding up the old clay road .	but
4	35020	They had hoped the cuffs would finally come off .	They were led into the chamber in the first place .	when
3	36016	That 's 2.4 million kronor .	You accept and stay the whole year .	if
2	132899	And it sounded so melodramatic .	I 'd never felt so sick in my life .	but
2	67733	He had not drawn his sword .	His men had and they were not to be ignored .	but
3	37447	`` nope , and , i 'm going to grow roots .	You take much longer .	if
